root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
NPORT-P,,2024-02-28,2023-12-31,EATON VANCE INVESTMENT TRUST,,0000779991,779991,"Boston, Massachusetts",[],811-04443,24694193,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-04443&action=getcompany,https://www.sec.gov/Archives/edgar/data/779991/000175272424046111/0001752724-24-046111-index.html,https://www.sec.gov/Archives/edgar/data/779991/000175272424046111/NPORT_FJ1E_94589419_1223.htm
10-K,Annual report,2024-03-27,2022-12-31,"Lodging Fund REIT III, Inc.",,0001745032,1745032,"Fargo, North Dakota",Maryland,000-56082,24789495,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=000-56082&action=getcompany,https://www.sec.gov/Archives/edgar/data/1745032/000155837024004065/0001558370-24-004065-index.html,https://www.sec.gov/Archives/edgar/data/1745032/000155837024004065/lfr-20221231xex10d268.htm
10-K,Annual report,2024-02-06,2023-12-31,SOUTHWEST AIRLINES CO,LUV,0000092380,9238,"Dallas, Texas",Texas,001-07259,24601150,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-07259&action=getcompany,https://www.sec.gov/Archives/edgar/data/9238/000009238024000027/0000092380-24-000027-index.html,https://www.sec.gov/Archives/edgar/data/9238/000009238024000027/luv-20231231.htm
NPORT-P,,2024-01-29,2023-11-30,FIRST TRUST EXCHANGE-TRADED FUND VIII,,0001667919,1667919,"Wheaton, Illinois",[],811-23147,24569659,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-23147&action=getcompany,https://www.sec.gov/Archives/edgar/data/1667919/000175272424016508/0001752724-24-016508-index.html,https://www.sec.gov/Archives/edgar/data/1667919/000175272424016508/primary_doc.xml
NPORT-P,,2024-02-28,2023-12-31,EATON VANCE CALIFORNIA MUNICIPAL BOND FUND,EVM,0001177161,1177161,"Boston, Massachusetts",[],811-21147,24694657,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-21147&action=getcompany,https://www.sec.gov/Archives/edgar/data/1177161/000175272424046289/0001752724-24-046289-index.html,https://www.sec.gov/Archives/edgar/data/1177161/000175272424046289/primary_doc.xml
NPORT-P,,2024-01-26,2023-11-30,"iShares, Inc.",,0000930667,930667,"San Francisco, California",Maryland,811-09102,24565628,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-09102&action=getcompany,https://www.sec.gov/Archives/edgar/data/930667/000175272424015104/0001752724-24-015104-index.html,https://www.sec.gov/Archives/edgar/data/930667/000175272424015104/primary_doc.xml
N-CSRS,Semi-annual shareholder report,2024-01-24,2023-11-30,"BNY Mellon Intermediate Municipal Bond Fund, Inc.",,0000718935,718935,"New York, New York",New York,811-03721,24555304,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-03721&action=getcompany,https://www.sec.gov/Archives/edgar/data/718935/000071893524000001/0000718935-24-000001-index.html,https://www.sec.gov/Archives/edgar/data/718935/000071893524000001/lp1-947.htm
NPORT-P,,2024-03-22,2024-01-31,Nuveen AMT-Free Municipal Value Fund,NUW,0001450445,1450445,"Chicago, Illinois",Massachusetts,811-22253,24774470,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22253&action=getcompany,https://www.sec.gov/Archives/edgar/data/1450445/000175272424063443/0001752724-24-063443-index.html,https://www.sec.gov/Archives/edgar/data/1450445/000175272424063443/tiaa_NUW.htm
NPORT-P,,2024-03-28,2024-01-31,IndexIQ Active ETF Trust,,0001426439,1426439,"New York, New York",Delaware,811-22739,24795824,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22739&action=getcompany,https://www.sec.gov/Archives/edgar/data/1426439/000175272424073300/0001752724-24-073300-index.html,https://www.sec.gov/Archives/edgar/data/1426439/000175272424073300/682447INDEXIQ013124.htm
10-K,Annual report,2024-02-23,2023-12-31,Blackstone Inc.,BX,0001393818,1393818,"New York, New York",Delaware,001-33551,24671070,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-33551&action=getcompany,https://www.sec.gov/Archives/edgar/data/1393818/000119312524044485/0001193125-24-044485-index.html,https://www.sec.gov/Archives/edgar/data/1393818/000119312524044485/d734131dex10121.htm
